Date,Open,High,Low,Close,Volume,Open_Interest,Year
1999-10-29,480.0,484.0,476.5,482.75,33794.0,92568.0,1999
1999-11-01,484.5,484.5,477.0,477.5,25271.0,93615.0,1999
1999-11-02,480.5,484.0,479.5,482.5,34863.0,93899.0,1999
1999-11-03,482.5,486.5,478.0,482.25,44574.0,92124.0,1999
1999-11-04,483.0,486.75,482.0,485.75,29451.0,91100.0,1999
1999-11-05,488.0,489.0,481.5,482.5,19456.0,89901.0,1999
1999-11-08,485.0,486.75,482.0,483.0,16776.0,90384.0,1999
1999-11-09,482.0,483.75,478.5,479.0,24303.0,89137.0,1999
1999-11-10,473.5,476.0,465.5,466.0,48684.0,89512.0,1999
1999-11-11,467.0,468.5,464.25,467.5,25145.0,88737.0,1999
1999-11-12,466.5,467.5,462.0,462.75,25029.0,89082.0,1999
1999-11-15,465.0,470.0,463.5,469.25,23445.0,88718.0,1999
1999-11-16,470.0,474.5,468.5,470.5,27360.0,88033.0,1999
1999-11-17,471.5,472.25,465.0,466.25,27658.0,89652.0,1999
1999-11-18,466.5,469.0,459.0,459.75,33485.0,86852.0,1999
1999-11-19,460.0,465.5,458.25,464.75,28652.0,85146.0,1999
1999-11-22,467.0,469.0,465.5,468.0,16876.0,84236.0,1999
1999-11-23,465.5,471.5,462.75,468.75,31185.0,85172.0,1999
1999-11-24,469.0,470.5,464.0,465.25,21469.0,83869.0,1999
1999-11-26,465.0,466.5,463.0,463.25,7901.0,82583.0,1999
1999-11-29,465.5,475.5,465.5,467.5,36004.0,81112.0,1999
1999-11-30,468.5,477.0,468.5,476.25,30118.0,82238.0,1999
1999-12-01,477.0,479.5,474.5,476.0,30726.0,78484.0,1999
1999-12-02,476.5,477.0,472.0,472.75,26972.0,77241.0,1999
1999-12-03,469.0,475.0,468.5,472.5,24255.0,76773.0,1999
1999-12-06,472.5,478.5,471.0,476.5,25430.0,75434.0,1999
1999-12-07,476.0,482.0,475.25,480.25,25343.0,72775.0,1999
1999-12-08,476.5,479.0,468.5,472.0,35600.0,70306.0,1999
1999-12-09,472.5,472.5,459.0,459.5,38426.0,68637.0,1999
1999-12-10,459.0,462.5,457.5,461.0,24441.0,67022.0,1999
1999-12-13,450.0,451.5,446.25,451.0,39625.0,61972.0,1999
1999-12-14,450.5,453.75,448.0,453.0,21332.0,60391.0,1999
1999-12-15,453.5,454.5,449.0,452.75,24916.0,59209.0,1999
1999-12-16,454.25,456.0,450.75,451.25,20545.0,56366.0,1999
1999-12-17,451.0,453.0,449.25,452.25,16254.0,52270.0,1999
1999-12-20,458.0,460.5,456.75,458.5,18966.0,48508.0,1999
1999-12-21,458.5,459.75,454.5,456.75,16968.0,46115.0,1999
1999-12-22,459.0,468.0,459.0,466.0,0.0,0.0,1999
